stop_id;stop_name;stop_desc;stop_lat;stop_lon;field10;zone_id;stop_url;stop_code;location_type;parent_station;line_type;line_name
4035172;REPUBLIQUE - DEFORGES;FACE 91 AVENUE DE LA REPUBLIQUE - 92020;48.80383802353411;2.2978373453843948;48.8038380235, 2.29783734538;;;;0;;BUS;BUS N63
4035179;12 FEVRIER 1934;105 AV PIERRE BROSSOLETTE - 92049;48.81804172715945;2.3084287367027905;48.8180417272, 2.3084287367;;;;0;;BUS;BUS N63
4035207;CHATILLON - MONTROUGE-METRO;PISTE GARE ROUTIERE - 92020;48.81008571048087;2.301547557964941;48.8100857105, 2.30154755796;;;;0;;BUS;BUS N63
4035140;LE CLOS;BOULEVARD DU MARECHAL FOCH - 91645;48.74960192385004;2.2718632650940656;48.7496019239, 2.27186326509;;;;0;;BUS;BUS N63
4035145;FACULTE DE PHARMACIE;R JEAN-BAPTISTE CLEMENT - 92019;48.76216673156768;2.2707190396736405;48.7621667316, 2.27071903967;;;;0;;BUS;BUS N63
4035181;DEPINOY;33 AVENUE PIERRE BROSSOLETTE - 92049;48.82192559845797;2.3138301473556675;48.8219255985, 2.31383014736;;;;0;;BUS;BUS N63
4035185;PORTE DE VANVES;14-16 BOULEVARD BRUNE - 75114;48.827972305836155;2.305278713124616;48.8279723058, 2.30527871312;;;;0;;BUS;BUS N63
4035187;PLAISANCE;RUE VERCINGETORIX - 75114;48.83247649468218;2.310952879483488;48.8324764947, 2.31095287948;;;;0;;BUS;BUS N63
4035155;MARC SANGNIER;72 AVENUE ROGER SALENGRO - 92019;48.772487476260245;2.2752203757962026;48.7724874763, 2.2752203758;;;;0;;BUS;BUS N63
4035157;PROFESSEUR EINSTEIN;6 AVENUE ROGER SALENGRO - 92019;48.77558956855833;2.2776100717028207;48.7755895686, 2.2776100717;;;;0;;BUS;BUS N63
4035192;MONTPARNASSE 2 - GARE TGV;PLACE DES CINQ MARTYRS DU LYCEE BUFFON - 75115;48.838472494611395;2.3175805117777912;48.8384724946, 2.31758051178;;;;0;;BUS;BUS N63
4035153;JEAN JAURES;88 AVENUE ROGER SALENGRO - 92019;48.76995218908434;2.273972443056028;48.7699521891, 2.27397244306;;;;0;;BUS;BUS N63
4035122;PRESIDENT ALLENDE;AV DU PRESIDENT ALLENDE - 91377;48.73016943896663;2.257403975158294;48.730169439, 2.25740397516;;;;0;;BUS;BUS N63
4035169;CIMETIERE DE FONTENAY-AUX-ROSES;FACE 22 RUE JEANNE ET MAURICE DOLIVET - 92032;48.79473999766578;2.2913552016110916;48.7947399977, 2.29135520161;;;;0;;BUS;BUS N63
4035129;EMILE ZOLA;RUE THOMAS MAZARIK - 91377;48.736923548777085;2.263413419175482;48.7369235488, 2.26341341918;;;;0;;BUS;BUS N63
4035125;GEORGES MANDEL;53 BOULEVARD DU 1ER MAI - 91377;48.73430404493988;2.257370449190574;48.7343040449, 2.25737044919;;;;0;;BUS;BUS N63
4035160;CARREFOUR DES MOUILLEBOEUFS;FACE 84 AVENUE JEAN MOULIN - 92032;48.78369913443988;2.282605922851057;48.7836991344, 2.28260592285;;;;0;;BUS;BUS N63
4035347;RUE DES BOURETS - PONT DE SURESNES;FACE 13 BOULEVARD HENRI SELLIER - 92073;48.86767710841224;2.226812902957634;48.8676771084, 2.22681290296;;;;0;;BUS;BUS N53
